 등록번호,상호,업종,주소,메뉴,영업시간,주차정보,제안수,댓글수
1261,미륵골산장,한식,전라남도 영광군 군남면 천년로 463-37,백숙,,,,
1262,지산칼국수,한식,전라남도 영광군 백수읍 백수로 726,"칼국수, 만두",,,,
1263,한성식당,한식,전라남도 영광군 백수읍 천마길 10,백합죽,,,,
1264,도래지,한식,전라남도 영광군 법성면 굴비로1길 106-14,굴비정식,,,,1
1265,법성토우,한식,전라남도 영광군 법성면 법성포로3길 26-9,간장게장정식,,,,
1266,푸른가든,한식,전라남도 영광군 불갑면 강항로 46-18,촌닭,,,,
1267,한솔가든,한식,전라남도 영광군 영광읍 영대로 516,장어탕,,,,
1268,밀향기,한식,전라남도 영광군 영광읍 함영로 3448,"해물칼국수, 해물녹두전",,,,
1269,문정한정식,한식,전라남도 영광군 중앙로5길 16-10,한정식,,,,
1270,홍농암소갈비,한식,전라남도 영광군 홍농읍 동부로 17,돼지갈비,,,,
1271,텃밭가든,한식,전라남도 영암군 덕진면 새터신정길 71,닭구이,,,,
1272,남원식육식당,한식,전라남도 영암군 미암면 영산로 9,돼지불고기,,,,
1273,신월착한고기,한식,전라남도 영암군 신북면 간은정로 24,생고기비빔밥,,,,
1274,금동숯불구이식육식당,한식,전라남도 영암군 신북면 고분로 1014,삼겹살,,,,
1275,궁전본가,한식,전라남도 영암군 영암읍 낭주로 206,백반,,,,
1276,초원식당,한식,전라남도 영암군 영암읍 열무정로 10,한방백숙,,,,
1277,영빈관,한식,전라남도 영암군 영암읍 웃시암길 8,"육낙, 비빔밥",,,,
1278,청하식당,한식,전라남도 영암군 학산면 독천로 170-1,낙지볶음,,,,
1279,소라횟집,한식,전라남도 완도군 신지면 명사십리길 85-29,삼복더위탕,,,,
1280,무등식육점,한식,전라남도 완도군 완도읍 개포로 145번길 39,삽겹살,,,,
1281,개성순두부,한식,전라남도 완도군 완도읍 개포로 19,순두부,,,,
1282,미락식당,한식,전라남도 완도군 완도읍 군내11번길 15,오리탕,,,,
1283,장수식당,한식,전라남도 완도군 완도읍 장보고대로 191-1,국밥,,,,
1284,문화식당,한식,전라남도 완도군 완도읍 청해진남로24번길 32,추어탕,,,,
1285,호반가든,한식,전라남도 장성군 북하면 백양로 612,메기찜,,,,
1286,호산식당,한식,전라남도 장성군 장성읍 미락단지길 32,메기탕,,,,
1287,장어나라,한식,전라남도 장성군 장성읍 영천로 219,"장어, 백반",,,,
1288,국일반점,중식,전라남도 장성군 장성읍 청운4길 3,짬뽕,,,,
1289,불태산 진원성,한식,전라남도 장성군 진원면 고산로 17,한우육회비빔밥,,,,
1290,콩까러가세,한식,전라남도 장성군 진원면 영신2길 65,"순두부, 청국장",,,,
1291,청자연,한식,전라남도 장성군 황룡면 구석길 53-2,"자연밥상, 떡갈비",,,,
1292,대도식당,한식,전라남도 장흥군 대덕읍 거정2길 14-24,장어전골,,,,
1293,바다하우스,한식,전라남도 장흥군 안양면 수문용곡로 139,바지락회무침,,,,
1294,영천수산,한식,전라남도 장흥군 안양면 안양로 151,민물장어,,,,
1295,연지보리밥,한식,전라남도 장흥군 장흥읍 토요시장3길 15,보리밥,,,,
1296,호남식당,한식,전라남도 장흥군 회진면 회진로 449,돼지주물럭,,,,
1297,우리집횟집,한식,전라남도 장흥군 회진면 회진선창길 10-1,된장물회,,,,
1298,장어랑돼지랑,한식,전라남도 진도군 의신면 운림산방로 269,장어구이,,,,
1299,해미원,한식,전라남도 진도군 진도읍 교동5길 109,회정식,,,,
1300,신호등회관,한식,전라남도 진도군 진도읍 남동1길 66,꽃게비빔밥,,,,
1301,옥천횟집,한식,전라남도 진도군 진도읍 성동길 9,회정식,,,,
1302,하여주가든,한식,전라남도 함평군 신광면 함영로 2573,돼지숯불갈비,,,,
1303,송학냉면,한식,전라남도 함평군 학교면 함영로 503,냉면,,,,
1304,은행나무수산,한식,전라남도 함평군 함평읍 내바람길 39,"메기찜, 붕어찜",,,,
1305,목포식당,한식,전라남도 함평군 함평읍 시장길 32,육회비빔밥,,,,
1306,장안식당,한식,전남 함평군 함평읍 함평천우길 54,곱창국밥,,,,
1307,선유식당,한식,전라남도 함평군 함평읍 중앙길 54-13,굴비정식,,,,
1308,돌머리수산,한식,전라남도 함평군 함평읍 중앙길 90-1,함평뻘낙지,,,,
1309,초록식당,한식,전라남도 함평군 함평읍 중앙길 96-7,육회비빔밥,,,,
1310,나비골가든,한식,전라남도 함평군 함평읍 함장로 1131,우렁이청국장,,,,
1311,고향산천,한식,전라남도 함평군 해보면 밀재로 1283-4,백반,,,,
1312,팔도강산,한식,전라남도 해남군 삼산면 대흥사길 88-30,흑두부,,,,
1313,장수통닭,한식,전라남도 해남군 해남읍 고산로 295,토종닭코스요리,,,,
1314,성내식당,한식,전라남도 해남군 해남읍 명문길 19-1,"미자탕, 김국",,,,
1315,천일식당,한식,전라남도 해남군 해남읍 읍내길 20-8,떡갈비,,,,
1316,돌고래횟집,한식,전라남도 해남군 화원면 영호길 42-13,자연산활어회,,,,
1317,삼거리식당,한식,전라남도 화순군 능주면 죽수길 25,돼지족발 및 돼지머리국밥,,,,
1318,황토와참숯,한식,전라남도 화순군 능주면 학포로 1877,생고기,,,,
1319,양지식당,한식,전라남도 화순군 능주면 학포로 1900,주물럭,,,,
1320,하오츠짬뽕,중식,전라남도 화순군 도곡면 지강로 169-3,"짬뽕, 탕수육",,,,
1321,용암산장,한식,전라남도 화순군 한천면 용암길 132-35,송어회,,,,
1322,금성식당,한식,전라남도 화순군 화순읍 시장길 40,홍어애탕,,,,
1323,봉순이 팥죽,한식,전라남도 화순군 화순읍 칠충로 132,팥죽,,,,
1324,산마을 다람쥐,한식,전라남도 화순군 화순읍 안양산로 496,간장게장,,,,
1325,삼일식당,한식,전라남도 화순군 화순읍 자치샘로 15-7,다슬기탕,,,,
1326,홍두깨칼국수,한식,대구광역시 남구 대명남2길 100-8,"칼국수, 수제비 ",,,,
1327,대해복어 ,한식,대구광역시 남구 대명로53길 22-1,"복어탕, 복불고기 ",,,,
1328,대동강식당,한식,대구광역시 남구 대봉로 57-1,"냉면, 불고기, 어복쟁반",,,,
1329,영대특미아나고,한식,대구광역시 남구 명덕시장길 119-3,"아나고몸통, 곰장어 ",,,,
1330,생오리오리 ,한식,대구광역시 남구 봉덕로 102,오리요리 ,,,,
1331,주왕산삼계탕 ,한식,대구광역시 남구 봉덕로 11,"삼계탕, 찜닭 ",,,,
1332,대덕식당,한식,대구광역시 남구 앞산순환로 443,국밥,,,,
1333,앞산할매손칼국수 ,한식,대구광역시 남구 앞산순환로87길 13,"손칼국수, 빈대떡 ",,,,
